Column1,Column2,Column3,Column4,Column5,Column6,Column7
1245,yoyo0208 (),Re: [標的] 巨大9921 多,Mon Jul 13 10:07:50 2020,"6/23發文時價格256

7/13價格來到318, 碰到漲停, 到我的目標價出場了

接下來留給高手賺

原文下面有些沒建設性的推文, 我也是笑笑:)



※ 引述《yoyo0208 ()》之銘言：
: 1. 標的：巨大9921
: 2. 分類：多
: 3. 分析/正文：
: 從4月底開始漲,5月營收出來後進入整理,最高點價格274,現在256
: 從價量圖來看,253.5卡了很多張(應是之前指數調整時接手者
: 觀察兩周了,跌不破252,應該很安全
: 今天價格上258後就有幾十張以1到2塊的方式降售,推測是有人在壓低吃貨
: 現在進場應為安全價位
: 又腳踏車為解封受惠股
: 5月營收很好,創了歷年新高,有營收保護股價
: 籌碼集中度有81%,外資持股從4月開始上升,目前有50.87在外資手上
: 今日量縮到窒息,這支過去經驗顯示窒息量後隔日都會噴發
: 布林通道壓縮上揚,可以期待一下
: 惟要注意的是,這支也是美林愛股
: 常常可以看到股價突然拉抬再下來
: 出場時可以先高高掛等順風車
: 4. 進退場機制：(非長期投資者，必須有停損機制)
: 進場:258以下都安全
: 停利:碰到漲停價
: 停損:249

",https://www.ptt.cc/bbs/Stock/M.1594606072.A.285.html,"['上揚', '巨大']"
1246,lifephoto (空空不啷咚),[標的]2732六角多,Mon Jul 13 10:42:36 2020,"
1. 標的：六角2732

2. 分類：多

3. 分析/正文：

(1)營收開始回穩，6月比5月多1.1億

(2)國外持續展店，國內亦有振興券協助提升業績

＊旗下有日出茶太、春上布丁蛋糕、Bake Code烘焙密碼、ZenQ仙Q冰?室、La Kaffa六角
咖啡與Chatime Lounge茶時光等，子公司「王座國際餐飲集團」管理旗下杏子日式豬排
、段純貞牛肉麵、大阪王將、初念個人鍋專賣、京都勝牛等。

(3)併購天恩粉圓，整合供應鏈

(4)疫情汰弱留強，六角相對其他小型業者具優勢

(5)去年eps9.7元，股利配發8.45元


4. 進退場機制：(非長期投資者，必須有停損機制)
144.5往下買 140停損 170以上停利

",https://www.ptt.cc/bbs/Stock/M.1594608158.A.F03.html,[]
1247,epicurious (晚上不睡覺能做些什麼),Re: [標的] 略談合一,Mon Jul 13 11:30:55 2020,"這次處置前一天已「清空」合一持股

1. 以前關緊閉有把握它會續漲，這次沒把握，清空比較實在

2. 合一最近的漲都是因為on101，我沒有很喜歡，認為這個漲的理由有問題

3. 美國是不會用植物藥的，由申請「醫材」就知道

4. 糖尿病足的市場不是公司這樣算的

5. 台灣生技公司玩授權可以，825授權給Leo我覺得很棒，但如果說要自己賣我覺得都是
打折再打折折折

6. 左手香我家旁邊的廟就有，賣多少你知道嗎
？免費結緣

7. 合一還會有第二波，我也在等，以後有緣再分享

8. 沒有所謂炒作的股票，因為同樣的股票，同樣的消息，在不同時間、位階、前提下反
應都會不同

9. 附上對帳單，其中一個戶頭
https://i.imgur.com/UnFJloH.jpg
",https://www.ptt.cc/bbs/Stock/M.1594611057.A.94A.html,"['台灣煉鐵', '台灣大']"
1248,aqsw2000 (說好的幸福呢?),Re: [標的]  3321 同泰 多,Mon Jul 13 08:32:29 2020,"大家早安！
我先來統一回應一下眾多版友問題
同泰六月財報不好看，該賣了嗎？
同泰6/30股東會上曾董已經說了Q2仍是虧損，預期Q3持平，Q4轉虧為盈，六月財報不好看
很早以前已經知道了，股票買的是未來，三個月到六個月後的價值，還在看財報做股票？
保證輸多贏少，通常財報好看的股票在前一個月15號就會開始用力洗散戶並開始上漲，等
到財報出來再拉一根長紅棒出貨，同樣的割韭菜劇本一直在股市上演......

上週同泰從20.9升至28，漲幅約25%，上週五收跌0.8不過是個開低走高的紅K，KD高檔鈍
化已久，本週重點為挑戰30元大關，繼續在30前累積能量，以盤代跌，觀察是否在等十日
線追上股價當支撐，只要量縮都安全，一旦站上30元大關，40～50的股價絕對不是夢想。

有同泰的版友請抱緊，今天估計有看財報做股票的散戶賣壓，想要再加碼同泰的版友可以
把握這次機會。

自從蘋果打算筆電與iPad 採用mini led開始，相關產業股票皆大幅上漲，mini led 在未
來3～4年內絕對是可以大放異彩的產業。
光源背板代表廠商為欣興與同泰，兩家董事長皆為曾子章董事長，在關鍵技術有絕對優勢
（研發&良率）下，股價是有相當的想像空間。

最近外資已經開始在回補同泰，量不多但值得繼續觀察。
https://i.imgur.com/MAnPRGV.jpg

最後，祝大家賺錢。

引述《aqsw2000 (說好的幸福呢?)》之銘言：
: 大家早安！
: 昨天同泰被證交所延長處置時間了（到7/23），不過沒關係，有句話叫做越關越大尾，
處
: 置二的股持續大漲的不多，同泰就是其中之一！
: 昨天同泰開盤29馬上被大量賣單賣到26，通常整數關卡前總是有很多人近鄉情怯是很正
常
: 的，不過我想說的是，對於一個強勢上漲的股票妄自摸頭猜底，是吃不到整個波段的（
可
: 能連波段的一半都吃不到），這也是我每天發文、分享觀念與操作的目的。從我上週發
文
: 收盤價17.3來算到昨日收盤價28.8，有跟到並抱緊的版友已經有60%的獲利，恭喜恭喜
！
: 還沒要停利喔，會盡量找甜甜價跟大家一起出場的。
: 今天簡單解釋一個比較常見主力壓價吃籌碼的狀況：
: 昨天同泰10:40後價格一直鎖在28.8直到收盤，我們可以看下圖的掛單方式
: 大量賣單掛在28.9/29.0，每二十分鐘都是大量賣單丟出，嚇得散戶一個個把手上籌碼
丟
: 出來，但是卻賣不下去？，因為主力正在28.8大量吃貨，主力每20分鐘都在28.8掛一定
數
: 量買單把散戶拋出的籌碼吃掉，吃的不亦樂乎，不由得說這主力人真的很好，通常都是
壓
: 低吃貨，很少看到拉高吃貨的...，讓我在倒數第二盤也跟著加碼（多掛一檔28.85即可
優
: 先吃到28.8）
: https://i.imgur.com/LkNkUK0.jpg
: 今天同泰就要挑戰30元了，不知道主力籌碼吃夠沒，就讓我們繼續follow 同泰吧,抱緊
處
: 理!
: 對了，版友最近私訊太多無法一一回覆請見諒，本人只是小小散戶，有工作有家庭也需
要
: 睡覺，麻煩不用再私訊了...。
: 最後，祝大家賺錢!
: 引述《aqsw2000 (說好的幸福呢?)》之銘言：
: : 大家早安！
: : 同泰經過前天的小亂流，昨天呈現一個量縮上漲的情形，這代表投資人惜售，新的投
資
: 人
: : 想要上車只能加價買，越買越高，這就是同泰的優點（主力鎖籌碼）。
: : 若是主力再點火一下，未來30～50都是短期內可以期待的價位。
: : 昨天的經濟日報也有提到同泰，上週po文就是要大家超前部署，接下來預期的劇本就
是
: 新
: : 聞連發，法人進場抬轎。（可能還沒那?快，再讓子彈飛一會兒）
: : 新聞連結：
: : https://money.udn.com/money/story/5612/4686743
: : 重點節錄：
: : https://i.imgur.com/UdVyx3O.jpg
: : 我還是計畫在30元之前補到200張，只是預期的大幅度回檔洗籌碼劇本並沒有看到，
真
: 的
: : 看情況不對我也只能加價買了=_=。
: : 重複一下：
: : 成本二十元以下的朋友續抱，獲利超過20%可以加碼倉位10%～20%的部位放大獲利，
若
: 獲
: : 利超過40%可以加碼倉位20%～40%的部位。
: : 本週進場的朋友請慢慢加碼，萬一遇到主力洗籌碼可是會坐立難安，吃不下飯的。
: : 附上大陸針對同泰比較詳盡的報導（不喜勿入
: : 畢竟同泰揚州廠也是虧轉盈的關鍵，有興趣的版友可以參考一下。
: : https://www.21ic.com/article/808858.html
: : 值得留意，漲停打開後外資已連買兩天，繼續觀察。
: : 最後 祝大家賺錢。
: : 引述《aqsw2000 (說好的幸福呢?)》之銘言：
: 一
: : 筆
: 回
: : 到
: 場
: : 的
: 次
: : al
: ）
: : ，
: 淺
: : 力
: : （
: : 身
: : 是
: : ，

",https://www.ptt.cc/bbs/Stock/M.1594600351.A.EEE.html,"['統一', '大陸', '統一證', '統一超商', '欣興', '元大京華', '統一實']"
1249,aqsw2000 (說好的幸福呢?),Re: [標的] 8111 立碁 多,Mon Jul 13 08:40:28 2020,"大家早安！
上週五立碁的沖天炮真讓人印象深刻，大家買到都上新聞了啦@@
https://m.ctee.com.tw/dailynews/20200711/a27ab3/1069881
（特定買盤介入？）
https://i.imgur.com/95dbQ7S.jpg

其實禮拜四已經有注意到這隻股票，單純從技術線型來看，頗有想挑戰前高的態勢，不過
在當沖+隔日沖佔50%成交量的狀況下，股價可能上沖下洗的比較劇烈，所以上週五我才說
小買試單，未來趁股價回檔時可以再接。

消息面的部分，立碁為LED封裝廠，與億光同性質，立碁毛利比億光高，兩廠Q1 EPS不相
上下，我推測立碁要走比價效應路線。

以上是我的小小研究，給版友參考。

人家說PTT標的常被狙擊，此檔目前我小買，觀察幾天後決定是否加碼，就像我買同泰一
樣，先試單->趨勢對了再加碼，不要一個價位all in，很容易住套房，給大家參考一下。

最後，祝大家賺錢。

",https://www.ptt.cc/bbs/Stock/M.1594600836.A.B1F.html,"['億光', '立碁電']"
1250,john199308 (飆股小小虎↗),[標的] 1799易威的主力 非常兇,Sun Jul 12 18:01:38 2020,"
1. 標的：1799 易威

2. 分類：心得

3. 分析/正文：
大家好，我是飆股小小虎
上個禮拜有PO我的上半年對帳單，未實現損益的其中一檔就是 易威
這是我易威的對帳單
https://i.imgur.com/gmNN9AJ.jpg

我在6/29進場33張，直接變成買超大戶第一名(中國信託)
https://i.imgur.com/dhUDZ06.jpg

後來有陸陸續續順勢加碼，最後總共來到51張
我覺得我平均成本算低，本來未實現也賺蠻多的
但在7/7時開低破十日線帶量下殺，我毫不猶豫全部出清
當然我當天賣的點算好，因為後來一路下殺到收盤
7/7籌碼日報也可以看我的中國信託大賣超
https://i.imgur.com/3UtJhuI.jpg

到了7/8號開盤不到幾分鐘瞬間鎖漲停，我措手不及只有回補到10張
後來就開始鎖漲停
到7/10時我認為生技主力會大出貨，因此我在漲停時全賣
後來的確有下殺，但強勢反彈我也沒再補了

事後想想這段大起大落，看線型蠻像標準的破線翻
但7/8實在是鎖漲停鎖的太快，讓我不禁懷疑是不是我被狙擊了?

如果易威的主力只有一個，在6/29看到居然有一個不是他的主力排到買超第一名
然後在7/7看到我被甩掉後，7/8馬上火箭式發車
這真的很像我被狙擊吧??

我一直很看好這檔，還跟朋友說這檔不錯，但沒想到主力這麼兇
我沒賺到錢就算了還害朋友賠錢QQ
看來以後買這種成交量較少的股票不能太囂張R
偷偷買就好不要驚動主力

",https://www.ptt.cc/bbs/Stock/M.1594548100.A.144.html,"['第一銅', '第一店', '第一保', '第一金控']"
1251,Yginger1 (阿薑好帥),[標的] 2748 雲品,Sun Jul 12 20:30:20 2020,"
1. 標的：2748 雲品

2. 分類：多

3. 分析/正文：
雲品為雲朗飯店旗下的好飯店 有全台目前唯一一家米其林三星 頤宮

在批踢踢Hotel版普遍評價也都偏好

在Google評價 4.6 非常高

在過去幾年也國內外大小獎拿不完

是台灣最佳飯店之一

過去四年穩定配息 大概也都有4%

考慮到最近疫情影響 飯店業受傷慘重 可以撿便宜


https://i.imgur.com/0mh9gh5.png

從線圖看 近幾月都沿著上升趨勢線
 日KD目前也低檔 準備黃金交叉



4. 進退場機制：日KD黃金交叉時進場 長期持有

但有一個問題 雲朗的股東是不是 台泥 嘉泥？
看維基上寫 雲朗的老闆是 台泥 嘉泥的老闆...
但我看台泥 嘉泥的財報 子公司 沒找到雲朗

",https://www.ptt.cc/bbs/Stock/M.1594557022.A.7FC.html,"['台泥', '嘉泥', '台灣煉鐵', '林三號', '林三號', '全台', '台灣大', '三星']"
1252,nic0911 (台南好冷),Re: [標的] 2748 雲品,Sun Jul 12 21:35:32 2020,"※ 引述《Yginger1 (阿薑好帥)》之銘言：
: 1. 標的：2748 雲品
: 2. 分類：多
: 3. 分析/正文：
: 雲品為雲朗飯店旗下的好飯店 有全台目前唯一一家米其林三星 頤宮
: 在批踢踢Hotel版普遍評價也都偏好
: 在Google評價 4.6 非常高
: 在過去幾年也國內外大小獎拿不完
: 是台灣最佳飯店之一
: 過去四年穩定配息 大概也都有4%
: 考慮到最近疫情影響 飯店業受傷慘重 可以撿便宜
: https://i.imgur.com/0mh9gh5.png
: 從線圖看 近幾月都沿著上升趨勢線
:  日KD目前也低檔 準備黃金交叉
: 4. 進退場機制：日KD黃金交叉時進場 長期持有
: 但有一個問題 雲朗的股東是不是 台泥 嘉泥？
: 看維基上寫 雲朗的老闆是 台泥 嘉泥的老闆...
: 但我看台泥 嘉泥的財報 子公司 沒找到雲朗
雲朗的老闆是張安平，原本是中信辜家的後來2008年賣給和信辜家，然後因為台泥的老闆
對飯店沒興趣就賣給了張安平，基本上都是家族內交易。

https://i.imgur.com/BO8sTxK.jpg

https://i.imgur.com/fXC7bHl.jpg


",https://www.ptt.cc/bbs/Stock/M.1594560934.A.F0A.html,"['台泥', '嘉泥', '和信興', '台灣煉鐵', '林三號', '林三號', '中信金', '中信', '中信', '全台', '台灣大', '三星', '中信證券']"
1253,bons2 (就是現在),Re: [標的] 8403 盛弘,Sun Jul 12 15:01:48 2020,"這檔之前買摔了一次
4月底口罩股正夯的時候，眼看到恆大直上90-100元
而敏成也飆到近300元
而盛弘持有敏成65%股份，股價才4字頭
當時我認為今年到7-80元應該合理
就買在47-48元左右，而盛弘最高到55元
結果當天直接下殺人踩人收黑
當時不信邪，結果連續幾天一直殺到42一43左右真的受不了就出清
後來還有再更低也曾再彈回5字頭，但已經不關我的事

心得就是母公司和字公司雖然股價有關聯
但母公司到時候是認列字公司的營收而非股價
股價通常都炒過頭而溢價
比方恆大到目前累積營收年增加三倍，但是股價漲十倍
母公司的受惠並沒有那麼多
所以母公司沒辦法在財報上反映出來，不可能和字公司相同飆法

所以要買就直接買該標地本身
不要買什麼母公司
比方遠見的漲幅不可能和熱映一樣
中天不可能和合一一樣
順藥?永析也一定比晟德飆

回頭來說，盛弘今年目標價5?60元可能還是有可能
可是目前看真的太溫了
就像遠見一樣
如果你是看到字公司的題材買母公司
真的不如直接買字公司本身



引述《cld123 (colin)》之銘言：
: 利用假日解說盛弘接下來的方向
: 1.籌碼
: 外資開始鬆動,持股從1900張降到1500張
: 主力開始進場,這幾天股價洗三溫暖
: 42.5 ,42 ,41.7都出現2,3百張大單
: 42以下有人承接
: 2.基本面
: 6月營收表現亮麗,今年的營收,逐月增加
: 年累計營收增加16.59%
: 3.技術面
: 股價沿著10日均線上揚,底部越墊越高
: 下周還是要觀察外資是否大舉拋售股票
: 7/8,7/10 都漲到43.4,又被壓下來
: 下周上攻的機率應該是還比較高

",https://www.ptt.cc/bbs/Stock/M.1594537310.A.A4A.html,"['恆大', '遠見', '晟德', '中天', '上揚']"
1254,gggping (麵包超人),[標的] 1781 合世 多,Sun Jul 12 16:22:04 2020,"1. 標的：合世

2. 分類：多

3. 分析/正文：


先來看一下VCR

我在推合世的時候，是幾塊? 16塊，現在52.6了
我在推合世的時候，叫大家什麼時候賣掉? 進處置的前一天(38塊)
我跟大家說合世幾塊不破，可以低接了(29塊)
我跟大家說明天出處置，今天可以小買一些，幾塊(36塊)

(嘿~~跳回來)



合世產品:血糖儀、耳溫槍、額溫槍 呼吸治療器

營收:3月營收月增200%
     4月營收月增52% 年增150%
     5月營收月增0%  年增201%
     6月營收月增30% 年增49%

看一下這截圖就知道營收有多威，去年6月營收0.599已經是整年最高
我本來預估要破去年很困難，結果不但破去年，還以0.833大破去年記錄
並且刷新25個月新高
https://imgur.com/tdkTPBq.png

處份: 處分大陸子公司合世醫療電子(蘇州)有限公司100%股權

      Q1已列入待出售非流動資產1.83億 EPS預估增加+2.66

      今年EPS預估 4.5~5.5元，預估股價在80~90間
https://i.imgur.com/XUqomKe.png

獲利: 去年EPS-1.16 也已經好幾年未獲利，因此今年為轉虧為盈
      是轉機股、題材股、防疫受惠股


法人: https://imgur.com/5qSCDI5.png 外資連買500張，周五成交量9405 小賣49張，合
理

      https://imgur.com/eW2lGhN.png 八大官股週五大買 紅棒這麼長

大戶: https://imgur.com/mx9bGkT.png

      800張以上大戶都沒少，100張以上大戶持股大增，散戶大減

https://imgur.com/ybvQdU1 週五大怒神，10點半就鎖漲停到盤末
比永昕還強，這樣強不強!


4. 進退場機制：(非長期投資者，必須有停損機制)

進場:週一開始處置 自己去查查，處置前兩天就是股價最低的時候
     週一、週二不買，又要等到鎖住買不到嗎?
     第二季財報出來，eps大增，你還想買?

停損:跌破月線


",https://www.ptt.cc/bbs/Stock/M.1594542127.A.76F.html,['大陸']
1255,Redhood (Tanpout),[標的] 台灣加權指數 台股大盤 先盤整後多頭,Sun Jul 12 18:00:52 2020,"
1. 標的：台股大盤

2. 分類：先盤整後多頭

3. 分析/正文：


   上週的文章我有提到

   7/6 - 7/10 台股大盤是走一個絕對多頭

   高點大約落在12000 - 12400 之間

   時間大約是周三到週五

   結果上周大盤的多頭落點落在12200點，落點時間為周四

   大盤落點不管是點數跟時間，為我預測值的中間

   非常給我面子 .... (自嗨?)



   這次我上周7/6 - 7/10的對帳單
   https://ibb.co/64Y3R9F

   小弟也趁這波的台股完全多頭進場小小賺了一些零用錢



   如果道瓊指數沒有起色的情況下

   未來兩周台股大盤預計需要整理盤整

   盤整區間可能為：12200 - 11800

   如同之前文章有提到過

   盤整的走勢有3種

   1. V型

   2. W型 (最常發生)

   3. W+V型

   若是想進場布局下一次多頭漲勢的朋友

   請不要錯過盤整時V型谷底進場



4. 進退場機制：(非長期投資者，必須有停損機制)

   1.跌破20日均價線

   2.跌破先前的上壓力線11700點



如果想知道我如何在多頭布局的朋友
可以參考我的影片
在影片裡面我有做詳細的說明
https://youtu.be/F76nDxQVAcw


在版上我所推薦的股票
每周我會針對這些股票做新的評價
有興趣的朋友可以下載我評價的檔案
推薦過的股票標的每周分析#0710
https://reurl.cc/nz81zl


以上
謝謝各位


",https://www.ptt.cc/bbs/Stock/M.1594548055.A.10A.html,"['台灣煉鐵', '台灣大']"
1256,iami1002 (散戶大媽),[標的] 1565 精華光學 (附對帳單),Sat Jul 11 00:11:35 2020,"
1. 標的：1565 精華光學

2. 分類：偏多

3. 分析/正文：

   1565從3/19 271元起漲 4/30突破340元後一直在340-380這個區間震盪整理

   期間更是被4171瑞基超越過去,但瑞基沒有合一的命,一下子就跌落神壇

   1565持續坐穩生技股二哥的位置,大跌過後往往就是向上拉的起點,就看下周的表現

   雖然營收和盈餘表現不甚理想,目前處於比上不足,比下有餘的階段,

   目前股價已經被2330台積電超越,

   未來是否能在隱形眼鏡競爭的紅海中持續成長也還未知

   但就股價反彈的程度來說1565也落後大盤,

   接下來是7/16的除息,就靜待它下週的表現了!

   對帳單:https://imgur.com/AG0FQrk

4. 進退場機制：(非長期投資者，必須有停損機制)

   進場372 347   退場335

",https://www.ptt.cc/bbs/Stock/M.1594397499.A.166.html,"['台積電', '突破']"
1257,kyon1989 (阿虛),[標的]合一4743 勸世跑~可惜不能空  不過會帶動,Sat Jul 11 01:29:01 2020,"1. 標的：合一 4743

2. 分類：倒貨跑

3. 分析/正文：
先聲名
合一跟中天無法放空 但我出於佛心!!還是要來分析判斷走勢

合一跟中天的利多 幾乎都能發一輪了
好好想想 利多都發一輪了 為何要去追價?
之前主力手法 跌停 然後在開始上攻
讓散戶以為還會噴而去追價買的前例
但這次開始到貨了

這跟國巨買在1000上的那些散戶一樣...
下周個人判斷 會鎖死3~5根跌停

預計下周 在跌停到 價位200上下 會出現跌停打開 然後在拉的反彈走勢
然後散戶又興奮去追 絕望變有望
然後會拉多少在殺呢?

ps.俗稱的草包都買在10塊左右 而現在漲了N倍去追合一的
請問是股市大草包嗎?

好好算合一正常價吧！
200就差不多了


花社的VIP大戶龍蝦哥 也出清生技股了


4. 進退場機制：(非長期投資者，必須有停損機制)

停利:多單基本上200上能賣就算賣高價了^^

停損...

https://i.imgur.com/PlrEgi7.jpg

",https://www.ptt.cc/bbs/Stock/M.1594402143.A.704.html,"['國巨', '中天']"
1258,MrBH (MrBH),Re: 怎麼照PTT標的買全都套牢了...QQ,Sat Jul 11 04:02:33 2020,"漢唐 看你的進出是昨天吧?月線在頭頂上壓著還沒站穩就急著進場，現在十日線還沒破就
急著想殺出

圓剛 離五日線那麼遠去追高，怎麼不等等拉回靠近線時再買?

光鈜 如果你的買入價是上週，那你在看到跌破5ma 10ma就應該出清，至少不會失血，如
果是本週買，均線都還沒站穩急什麼呢...?

旭品 紅K當天開盤就已經跳空3%當天收盤漲8%，急拉股通常也會急修正，今天開盤已經一
片綠，早盤還不出清，沒獲利至少也不會賠錢

看你的說法應該是短線操作者，而且沒設停損點
短線應該要把風險擺第一，停利不設可能抱上抱下白忙一場，停損不設則可能傷害擴大，
尤其只看明牌操作根本賭博...

短線賺差價我的話寧可少賺，不要賠錢
除了一些神人，否則要一直贏不太可能，但照紀律操作可以盡可能的賺多賠少
現在問要不要停損，跟你說停損之後漲回來、或是跟你說續抱之後又跌，是不是又要回來
發文了...?
最終操作的都是你那根可愛的金手指，沒人會對你的盈虧負任何責任，自己的荷包自己顧
，功課要多做，短線技術面籌碼面，長線基本面 ，我們小慘戶小韭菜沒有電話線就不說
消息面了...


※ 引述《a62248700 (找不到出口)》之銘言：
: 小弟股票新手
: 這幾天照PTT標的買股以為會賺
: 結果全都套牢了...=.=
: 目前賠了快一個月薪水
: 不知道禮拜一要不要認賠....Xdd
: https://imgur.com/gallery/FIxDosI
:

",https://www.ptt.cc/bbs/Stock/M.1594411355.A.277.html,"['第一銅', '漢唐', '圓剛', '第一店', '第一保', '第一金控']"
1259,koko147 (心情電梯),Re: [標的] 到現在多軍只有我套牢？持股請益,Fri Jul 10 18:09:31 2020,"※ 引述《koko147 (心情電梯)》之銘言：
前次發文為6/12，文章代碼(AID): #1UurTrPg
※ 引述《koko147 (心情電梯)》之銘言：
1. 標的：
2404漢唐
2885元大金
9925新保

2. 分類：多/空/請益/心得
請益

3.內文
現在多軍只有我套牢？
小弟是發了半年報，今年忙了上半年卻只賺1%的小廢廢拉
                  文章代碼(AID): #1U-n7Auk (Stock)
擺脫不了心病，下半年沒幾天小弟的持股數又暴增至15檔
運氣好遇到近期台積電大漲，344.5T總算是解套，不過還沒賣光，還在找下一個標的
部分股票小弟算是決定要長持
如亞泥、遠東新，在徐旭東死前或者藍綠以外當總統前都是可以穩抱
最近試圖做版友推薦標的，如漢唐
結果一買台股就沒來由的大跌，惶恐不已，請版友指點
庫存如圖：https://imgur.com/ETi9fTs.jpg

目前有三檔股票目前還沒確定怎樣操作會比較好，斗膽來請益一下

名  稱  張數  成本    損益    損益%     持有 /加碼 /出清原因
漢  唐， 1，209.29，- 3,710，- 1.77%，1.沒到買可成心浮氣躁，看到文章推薦就買了
       (+1)                            (真的太不理性了....現在想起來覺得真丟臉)

元大金，50 ，18.16，-14,659，- 1.61%，1.推文一直推0050，所以買發行0050的公司
      (+15)                           2.戰隊金融股代表
                                      3.除息後在18.25又買了15張，結果一買就跌

新  保， 1 ，35.45，  2,045，  5.60%，1.為了組戰隊(不同類持股)而買
       (-7)                           2.月線下彎，對填息與否有點猶豫
                                      3.前一波大跌到32以下，給我深刻印象
                                        為了買元大金賣了 7張，等下次大跌再補回

Q1：漢唐除息後反轉走勢，空頭一路向下，該等待還是放手？ 
小弟是自營商，小店經營平平，計算過稅務後小弟選擇積極參與除息
手中山隆、正隆、元大金，雖然沒有馬上填息但也有積極向上
台積電更是一週內就填息了
版上推薦了漢唐，雖然是除息過的，但是之前的經驗我以為除息後多少能填息部分
結果第一次看到像漢唐這種沒出息的，完全沒有向上的志氣
事後去查，雖然漢唐的確去年 4天就填息，但是2016~2018都花費了上百天才填息
我是賣出台積電轉買漢堂唐所以很是生氣 (台積電本來衝不過340結果我一賣就破新高Q_Q)
想請問版友對於漢唐後續走勢看法？
除息後反轉走勢，空頭一路向下，該等待還是放手？

Q2：首次除權到面臨二代健保的問題
元大金小弟買到了50張，預計可以分到2000股
是首次除權到面臨二代健保的問題
想請問二代健保是以10元面額下去計算，還是以面額計算呢？

Q3：新保月線的問題(還原權值創高，只看原始月K線卻下彎危險)
小弟第一次買新保是在2014年，那時候還稱為新光保，股價高達41.25
這幾年也穩定配息，不知道是配得太多，還是保全這個行業過度競爭
新保如果還原除權息部分，月線是往定向上不斷創高
但是如果只看一般 K線，月線卻是彎曲向下，有好幾的洞免強補了卻看是搖搖欲墜
由於月線因素，小弟很懷疑到底能不能填息
剛好小弟在今年大跌的時候攤了兩張，把先前成本高的和成本低的相互打消出場換個便當
想請問這種「還原權值創高，只看原始月K線卻下彎危險」各位版友怎看後續走勢呢？
這在技術線型算是怎樣的分類呢？

4. 進退場機制：(停損價位/出場條件/長期投資)
漢唐理解太少想問走勢
元大金打算長期投資，問稅務問題
新保要問技術現型的分類
麻煩指導小小擦鞋童，萬分感謝

",https://www.ptt.cc/bbs/Stock/M.1594375776.A.C2D.html,"['亞泥', '和成', '正隆', '第一銅', '新光鋼', '台積電', '漢唐', '可成', '山隆', '第一店', '遠東銀', '第一保', '新光金', '第一金控', '元大京華', '新保']"
1260,ichitakajoe (joe),Re: [標的] 晟德應該不會像中天一樣吧,Fri Jul 10 18:52:46 2020,"※ 引述《strekm (丁丁是念來過倒)》之銘言：
: 1. 標的：4123 晟德
: 2. 分類：請益
: 3. 分析/正文：
: 今天不小心放空來不及補
: 拉的速度太快
: 只好改融券
: 收盤一直看其他生技股
: 杏一 懷特之類的 一根紅棒之後
: 就無止盡的跳空漲停
: 晟德應該不會吧...
: 又沒什麼新藥不就是一個賣感冒糖漿的嗎
: 我看應該都是隔日沖券商鎖的
: 應該不會連續跳漲停板吧...
: 不知道為何有點害怕
: 有生技高手能給我安心一下嗎
: 4. 進退場機制：(非長期投資者，必須有停損機制)
: 呃 是不是要明天市價停損
: 請問一下大家
https://reurl.cc/qdex2y

晟德 (4123-TW) 今 (10) 日宣布，旗下糖尿病候選新藥 CS02 執行多國多中心二期臨床
試驗，數據顯示對於降低糖化血色素 (HbA1c) 有顯著意義，且主要療效指標達標。
晟德表示，此次臨床試驗總收案人數?01 人，分別在台灣與美國同步收案，收案對象是
有服用一線藥物二甲雙胍 (Metformin)，卻仍無法穩定控制血糖的二型糖尿病人，此外，
試驗設計針對 CS02 併用二甲雙胍的糖尿病人，以及安慰劑併用二甲雙胍糖尿病人進行實
驗對照。
此次臨床試驗主要療效指標為降低糖化血色素，其中，CS02 實驗組的糖化血色素變化值
，與安慰劑組比較，平均下降 0.45%，具統計學上顯著意義，顯示 CS02 有潛力能改善收
案病患。
次要療效指標部分，晟德表示，二型糖尿病病患因胰島素阻抗緣故，導致胰島β細胞過勞
而死亡，若持續血糖控制不佳，長時間破壞β細胞，最後可能無法有效製造胰島素，病患
進而陷入高血糖的惡性循環。

不知道原po停損了沒？

",https://www.ptt.cc/bbs/Stock/M.1594378368.A.032.html,"['台灣煉鐵', '台灣大', '懷特', '晟德', '中天']"
